t,sat,gss
2223,1,SVA
2224,1,SVA
2225,1,SVA
2226,1,SVA
2227,1,SVA
2228,1,SVA
2229,1,SVA
2230,1,SVA
2231,1,SVA
2232,1,SVA
2233,1,SVA
2234,1,SVA
2235,1,SVA
2236,1,SVA
2237,1,SVA
2238,1,SVA
2239,1,SVA
2240,1,SVA
2241,1,SVA
2242,1,SVA
2243,1,SVA
2244,1,SVA
2245,1,SVA
2246,1,SVA
2247,1,SVA
2248,1,SVA
2249,1,SVA
2250,1,SVA
2251,1,SVA
2252,1,SVA
2253,1,SVA
2254,1,SVA
2255,1,SVA
2256,1,SVA
2257,1,SVA
2258,1,SVA
2259,1,SVA
2260,1,SVA
2261,1,SVA
2262,1,SVA
2263,1,SVA
2264,1,SVA
2265,1,SVA
2266,1,SVA
2267,1,SVA
2268,1,SVA
2269,1,SVA
2270,1,SVA
2271,1,SVA
2272,1,SVA
2273,1,SVA
2274,1,SVA
2275,1,SVA
2276,1,SVA
2277,1,SVA
2278,1,SVA
2279,1,SVA
2280,1,SVA
2281,1,SVA
2282,1,SVA
2283,1,SVA
2284,1,SVA
2285,1,SVA
2286,1,SVA
2287,1,SVA
2288,1,SVA
2289,1,SVA
2290,1,SVA
2291,1,SVA
2292,1,SVA
2293,1,SVA
2294,1,SVA
2295,1,SVA
2296,1,SVA
2297,1,SVA
2298,1,SVA
2299,1,SVA
2300,1,SVA
2301,1,SVA
2302,1,SVA
2303,1,SVA
2304,1,SVA
2305,1,SVA
2306,1,SVA
2307,1,SVA
2308,1,SVA
2309,1,SVA
2310,1,SVA
2311,1,SVA
2312,1,SVA
2313,1,SVA
2314,1,SVA
2315,1,SVA
2316,1,SVA
2317,1,SVA
2318,1,SVA
2319,1,SVA
2320,1,SVA
2321,1,SVA
2322,1,SVA
2323,1,SVA
2324,1,SVA
2325,1,SVA
2326,1,SVA
2327,1,SVA
2328,1,SVA
2329,1,SVA
2330,1,SVA
2331,1,SVA
2332,1,SVA
2333,1,SVA
2334,1,SVA
2335,1,SVA
2336,1,SVA
2337,1,SVA
2338,1,SVA
2339,1,SVA
2340,1,SVA
2341,1,SVA
2342,1,SVA
2343,1,SVA
2344,1,SVA
2345,1,SVA
2346,1,SVA
2347,1,SVA
2348,1,SVA
2349,1,SVA
2350,1,SVA
2351,1,SVA
2352,1,SVA
3484,1,SVA
3485,1,SVA
3486,1,SVA
3487,1,SVA
3488,1,SVA
3489,1,SVA
3490,1,SVA
3491,1,SVA
3492,1,SVA
3493,1,SVA
3494,1,SVA
3495,1,SVA
3496,1,SVA
3497,1,SVA
3498,1,SVA
3499,1,SVA
3500,1,SVA
3501,1,SVA
3502,1,SVA
3503,1,SVA
3504,1,SVA
3505,1,SVA
3506,1,SVA
3507,1,SVA
3508,1,SVA
3509,1,SVA
3510,1,SVA
3511,1,SVA
3512,1,SVA
3513,1,SVA
3514,1,SVA
3515,1,SVA
3516,1,SVA
3517,1,SVA
3518,1,SVA
3519,1,SVA
3520,1,SVA
3521,1,SVA
3522,1,SVA
3523,1,SVA
3524,1,SVA
3525,1,SVA
3526,1,SVA
3527,1,SVA
3528,1,SVA
3529,1,SVA
3530,1,SVA
3531,1,SVA
3532,1,SVA
3533,1,SVA
3534,1,SVA
3535,1,SVA
3536,1,SVA
3537,1,SVA
3538,1,SVA
3539,1,SVA
3540,1,SVA
3541,1,SVA
3542,1,SVA
3543,1,SVA
3544,1,SVA
3545,1,SVA
3546,1,SVA
3547,1,SVA
3548,1,SVA
3549,1,SVA
3550,1,SVA
3551,1,SVA
3552,1,SVA
3553,1,SVA
3554,1,SVA
3555,1,SVA
3556,1,SVA
3557,1,SVA
3558,1,SVA
3559,1,SVA
3560,1,SVA
3561,1,SVA
3562,1,SVA
